id,url,size,price,obcina
7013965,https://www.nepremicnine.net/oglasi-oddaja/lj-vic-stanovanje_7013965/,14,250.00 EUR,Ljubljana
6947281,https://www.nepremicnine.net/oglasi-oddaja/logatec-stanovanje_6947281/,15,150.00 EUR,Logatec
6927693,https://www.nepremicnine.net/oglasi-oddaja/lj-vic-stanovanje_6927693/,15,250.00 EUR,Ljubljana
7042972,https://www.nepremicnine.net/oglasi-oddaja/lj-siska-nasproti-kina-stanovanje_7042972/,14,220.00 EUR,Ljubljana
7042107,https://www.nepremicnine.net/oglasi-oddaja/lj-siska-stanovanje_7042107/,19,330.00 EUR,Ljubljana
7040935,https://www.nepremicnine.net/oglasi-oddaja/lj-vic-blizu-centra-stanovanje_7040935/,20,290.00 EUR,Ljubljana
7040685,https://www.nepremicnine.net/oglasi-oddaja/lj-vic-vrhovci-brdo-stanovanje_7040685/,16,230.00 EUR,Ljubljana
6948250,https://www.nepremicnine.net/oglasi-oddaja/lj-siska-stanovanje_6948250/,6,350.00 EUR,Ljubljana
6342755,https://www.nepremicnine.net/oglasi-oddaja/lokev-stanovanje_6342755/,18,180.00 EUR,Sežana
7039146,https://www.nepremicnine.net/oglasi-oddaja/lj-siska-stanovanje_7039146/,27,450.00 EUR,Ljubljana
7033459,https://www.nepremicnine.net/oglasi-oddaja/lj-siska-celovska-cesta-stanovanje_7033459/,15,350.00 EUR,Ljubljana
7042558,https://www.nepremicnine.net/oglasi-oddaja/lj-vic-poklukarjeva-stanovanje_7042558/,19,300.00 EUR,Ljubljana
7038855,https://www.nepremicnine.net/oglasi-oddaja/novo-mesto-stanovanje_7038855/,17.64,300.00 EUR,Novo mesto
6757114,https://www.nepremicnine.net/oglasi-oddaja/podutik-stanovanje_6757114/,16,450.00 EUR,Ljubljana
7023081,https://www.nepremicnine.net/oglasi-oddaja/pobrezje-greenwich-stanovanje_7023081/,7,200.00 EUR,Maribor
7038850,https://www.nepremicnine.net/oglasi-oddaja/novo-mesto-stanovanje_7038850/,11.1,250.00 EUR,Novo mesto
6934928,https://www.nepremicnine.net/oglasi-oddaja/podgorica-stanovanje_6934928/,90,250.00 EUR,Ljubljana
6766702,https://www.nepremicnine.net/oglasi-oddaja/novo-mesto-kandijska-cesta-stanovanje_6766702/,20,220.00 EUR,Novo mesto
7043045,https://www.nepremicnine.net/oglasi-oddaja/pobrezje-stanovanje_7043045/,14,180.00 EUR,Maribor
7042535,https://www.nepremicnine.net/oglasi-oddaja/mb-center-stanovanje_7042535/,12,260.00 EUR,Maribor
7031345,https://www.nepremicnine.net/oglasi-oddaja/nove-jarse-stanovanje_7031345/,200.4,400.00 EUR,Ljubljana
7039113,https://www.nepremicnine.net/oglasi-oddaja/piran-leninova-1-stanovanje_7039113/,15,250.00 EUR,Piran
6878535,https://www.nepremicnine.net/oglasi-oddaja/pamece-stanovanje_6878535/,12,190.00 EUR,Slovenj Gradec
6944627,https://www.nepremicnine.net/oglasi-oddaja/maribor-tabor-stanovanje_6944627/,16,250.00 EUR,Maribor
7038911,https://www.nepremicnine.net/oglasi-oddaja/novo-mesto-stanovanje_7038911/,18.1,300.00 EUR,Novo mesto
6329470,https://www.nepremicnine.net/oglasi-oddaja/novo-mesto-stanovanje_6329470/,40,160.00 EUR,Novo mesto
7043175,https://www.nepremicnine.net/oglasi-oddaja/mb-center-stanovanje_7043175/,12,200.00 EUR,Maribor
6949104,https://www.nepremicnine.net/oglasi-oddaja/mb-center-beograjska-ulica-stanovanje_6949104/,18,220.00 EUR,Maribor
7033448,https://www.nepremicnine.net/oglasi-oddaja/mb-center-stanovanje_7033448/,12,150.00 EUR,Maribor
7041688,https://www.nepremicnine.net/oglasi-oddaja/maribor-kersnikova-ulica-5-stanovanje_7041688/,16,200.00 EUR,Maribor
7033787,https://www.nepremicnine.net/oglasi-oddaja/mb-center-pes-cona-stanovanje_7033787/,15,320.00 EUR,Maribor
7031493,https://www.nepremicnine.net/oglasi-oddaja/mb-center-stanovanje_7031493/,10,190.00 EUR,Maribor
7040817,https://www.nepremicnine.net/oglasi-oddaja/orehovlje-stanovanje_7040817/,25,300.00 EUR,Miren - Kostanjevica
7005096,https://www.nepremicnine.net/oglasi-oddaja/matenja-vas-postojna-stanovanje_7005096/,16,50.00 EUR,Postojna
6140316,https://www.nepremicnine.net/oglasi-oddaja/mb-center-stanovanje_6140316/,15,300.00 EUR,Maribor
7042630,https://www.nepremicnine.net/oglasi-oddaja/lovrenc-na-dravskem-polju-stanovanje_7042630/,24,360.00 EUR,Kidričevo
7039272,https://www.nepremicnine.net/oglasi-oddaja/mb-center-vosnjakova-ulica-stanovanje_7039272/,17,180.00 EUR,Maribor
5568627,https://www.nepremicnine.net/oglasi-oddaja/slovenj-gradec-stanovanje_5568627/,15,300.00 EUR,Slovenj Gradec
6939481,https://www.nepremicnine.net/oglasi-oddaja/postojna-center-stanovanje_6939481/,12,170.00 EUR,Postojna
6704658,https://www.nepremicnine.net/oglasi-oddaja/polje-stanovanje_6704658/,12,280.00 EUR,Ljubljana
6614515,https://www.nepremicnine.net/oglasi-oddaja/rozna-dolina-stanovanje_6614515/,20,250.00 EUR,Ljubljana
7043089,https://www.nepremicnine.net/oglasi-oddaja/rudnik-stanovanje_7043089/,15,400.00 EUR,Ljubljana
7019555,https://www.nepremicnine.net/oglasi-oddaja/polje-stanovanje_7019555/,16,170.00 EUR,Ljubljana
7008813,https://www.nepremicnine.net/oglasi-oddaja/ptuj-stanovanje_7008813/,18,270.00 EUR,Ptuj
7041883,https://www.nepremicnine.net/oglasi-oddaja/rudnik-stanovanje_7041883/,15,400.00 EUR,Ljubljana
6917357,https://www.nepremicnine.net/oglasi-oddaja/race-stanovanje_6917357/,36,250.00 EUR,Rače - Fram
7039643,https://www.nepremicnine.net/oglasi-oddaja/rudnik-stanovanje_7039643/,15,350.00 EUR,Ljubljana
7041882,https://www.nepremicnine.net/oglasi-oddaja/rudnik-stanovanje_7041882/,15,400.00 EUR,Ljubljana
7042675,https://www.nepremicnine.net/oglasi-oddaja/semic-stanovanje_7042675/,11,150.00 EUR,Semič
6868878,https://www.nepremicnine.net/oglasi-oddaja/ribnica-stanovanje_6868878/,5,200.00 EUR,Ribnica
6047636,https://www.nepremicnine.net/oglasi-oddaja/polje-kaseljska-cesta-82-stanovanje_6047636/,12,280.00 EUR,Ljubljana
6996633,https://www.nepremicnine.net/oglasi-oddaja/podutik-stanovanje_6996633/,16,300.00 EUR,Ljubljana
5891609,https://www.nepremicnine.net/oglasi-oddaja/polje-kaseljska-cesta-82-stanovanje_5891609/,12,280.00 EUR,Ljubljana
6994506,https://www.nepremicnine.net/oglasi-oddaja/savsko-naselje-stanovanje_6994506/,20,350.00 EUR,Ljubljana
7031681,https://www.nepremicnine.net/oglasi-oddaja/podutik-stanovanje_7031681/,90,550.00 EUR,Ljubljana
7037778,https://www.nepremicnine.net/oglasi-oddaja/rakovnik-stanovanje_7037778/,15,350.00 EUR,Ljubljana
7043095,https://www.nepremicnine.net/oglasi-oddaja/rudnik-stanovanje_7043095/,15,350.00 EUR,Ljubljana
6334245,https://www.nepremicnine.net/oglasi-oddaja/rakova-jelsa-pot-na-rakovo-jelso-stanovanje_6334245/,20,150.00 EUR,Ljubljana
7039986,https://www.nepremicnine.net/oglasi-oddaja/portoroz-stanovanje_7039986/,16,350.00 EUR,Piran
